Text	Valence
a terrifically entertaining specimen of spielbergian sci-fi .	Positive
-lrb- t -rrb- he ideas of revolution # 9 are more compelling than the execution	Negative
a summer entertainment adults can see without feeling embarrassed , but it could have been more .	Positive
escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions .	Positive
this u-boat does n't have a captain .	Negative
woody allen used to ridicule movies like hollywood ending .	Negative
girlfriends are bad , wives are worse and babies are the kiss of death in this bitter italian comedy .	Negative
-- was a fad that had long since vanished .	Neutral
i ca n't recommend it .	Negative
you just know something terrible is going to happen .	Neutral
we admire this film for its harsh objectivity and refusal to seek our tears , our sympathies .	Positive
a feel-good movie that does n't give you enough to feel good about .	Negative
the film is ... determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation .	Positive
a standard police-oriented drama that , were it not for de niro 's participation , would have likely wound up a tnt original .	Negative
you 'll feel like you ate a reeses without the peanut butter ... '	Negative
an admirable , sometimes exceptional film	Positive
a dull , somnambulant exercise in pretension whose pervasive quiet is broken by frequent outbursts of violence and noise .	Negative
-lrb- has -rrb- an immediacy and an intimacy that sucks you in and dares you not to believe it 's all true .	Positive
equlibrium could pass for a thirteen-year-old 's book report on the totalitarian themes of 1984 and farenheit 451 .	Negative
a subtle , poignant picture of goodness that is flawed , compromised and sad .	Neutral
shiner can certainly go the distance , but is n't world championship material	Positive
this is not an easy film .	Negative
what jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery	Negative
top-notch action powers this romantic drama .	Positive
kirshner and monroe seem to be in a contest to see who can out-bad-act the other .	Negative
what the audience feels is exhaustion , from watching a movie that is dark -lrb- dark green , to be exact -rrb- , sour , bloody and mean .	Negative
like a comedian who starts off promisingly but then proceeds to flop , comedian runs out of steam after a half hour .	Negative
in an art film !	Positive
as tricky and satisfying as any of david mamet 's airless cinematic shell games .	Positive
... quite good at providing some good old fashioned spooks .	Positive
parents beware ; this is downright movie penance .	Negative
an extremely unpleasant film .	Negative
this movie is so bad , that it 's almost worth seeing because it 's so bad .	Negative
everything is off .	Negative
a gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost .	Positive
forget about one oscar nomination for julianne moore this year - she should get all five .	Positive
for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .	Negative
such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .	Negative
the director has injected self-consciousness into the proceedings at every turn .	Neutral
some body will take you places you have n't been , and also places you have .	Positive
a portrait of hell so shattering it 's impossible to shake .	Positive
both the crime story and the love story are unusual .	Neutral
... an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if lopez 's publicist should share screenwriting credit .	Negative
implicitly acknowledges and celebrates the glorious chicanery and self-delusion of this most american of businesses , and for that reason it may be the most oddly honest hollywood document of all .	Positive
denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave 's career .	Neutral
hopelessly inane , humorless and under-inspired .	Negative
you can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed .	Negative
one fantastic -lrb- and educational -rrb- documentary .	Positive
for those of us who respond more strongly to storytelling than computer-generated effects , the new star wars installment has n't escaped the rut dug by the last one .	Negative
the script boasts some tart tv-insider humor , but the film has not a trace of humanity or empathy .	Negative
a tasty masala .	Positive
a triumph of pure craft and passionate heart .	Positive
i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .	Negative
an improvement on the feeble examples of big-screen poke-mania that have preceded it .	Positive
terrible .	Negative
there 's so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles .	Positive
your 20th outing shows off a lot of stamina and vitality , and get this , madonna 's cameo does n't suck !	Positive
there is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie .	Negative
it 's a barely tolerable slog over well-trod ground .	Negative
only at the prospect of beck 's next project .	Neutral
it leers , offering next to little insight into its intriguing subject .	Negative
no amount of arty theorizing -- the special effects are ` german-expressionist , ' according to the press notes -- can render it anything but laughable .	Negative
a forceful drama of an alienated executive who re-invents himself .	Positive
solondz may be convinced that he has something significant to say , but he is n't talking a talk that appeals to me .	Negative
but here 's a movie about it anyway .	Negative
the photographer 's show-don ` t-tell stance is admirable , but it can make him a problematic documentary subject .	Neutral
a coming-of-age movie that hollywood would n't have the guts to make .	Positive
what could have been a pointed little chiller about the frightening seductiveness of new technology loses faith in its own viability and succumbs to joyless special-effects excess .	Neutral
this stuck pig of a movie flails limply between bizarre comedy and pallid horror .	Negative
and in a sense , that 's a liability .	Negative
great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex .	Positive
... a thoughtful what-if for the heart as well as the mind .	Positive
a truly wonderful tale combined with stunning animation .	Positive
as pedestrian as they come .	Negative
if jews were catholics , this would be catechism	Neutral
meanders between its powerful moments .	Neutral
new yorkers always seem to find the oddest places to dwell ...	Neutral
a lot of the credit for the film 's winning tone must go to grant , who has n't lost a bit of the dry humor that first made audiences on both sides of the atlantic love him .	Positive
so exaggerated and broad that it comes off as annoying rather than charming .	Negative
worth a look as a curiosity .	Positive
i like this movie a lot .	Positive
despite all the closed-door hanky-panky , the film is essentially juiceless .	Negative
drumline ably captures the complicated relationships in a marching band .	Positive
its generic villains lack any intrigue -lrb- other than their funny accents -rrb- and the action scenes are poorly delivered .	Negative
a bilingual charmer , just like the woman who inspired it	Positive
there are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .	Neutral
i 'd be lying if i said my ribcage did n't ache by the end of kung pow .	Positive
the problem with movies about angels is they have a tendency to slip into hokum .	Negative
simply a re-hash of the other seven films .	Negative
chris columbus ' sequel is faster , livelier and a good deal funnier than his original .	Positive
throughout all the tumult , a question comes to mind : so why is this so boring ?	Negative
it was a dark and stormy night ...	Neutral
an unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .	Positive
the attraction between these two marginal characters is complex from the start -- and , refreshingly , stays that way .	Positive
got a david lynch jones ?	Neutral
matches neorealism 's impact by showing the humanity of a war-torn land filled with people who just want to live their lives .	Neutral
while we no longer possess the lack-of-attention span that we did at seventeen , we had no trouble sitting for blade ii .	Positive
the soupy end result has the odd distinction of being playful without being fun , too .	Neutral
rarely has sex on screen been so aggressively anti-erotic .	Negative
the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .	Positive
beneath the film 's obvious determination to shock at any cost lies considerable skill and determination , backed by sheer nerve .	Positive
this is more a case of ` sacre bleu ! '	Neutral
it hates its characters .	Negative
the pacing is often way off and there are too many bona fide groaners among too few laughs .	Negative
for those in search of something different , wendigo is a genuinely bone-chilling tale .	Positive
it is definitely worth seeing .	Positive
a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire .	Positive
you have no affinity for most of the characters .	Negative
... a pretentious mess ...	Negative
it 's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 .	Negative
sweet home alabama is one dumb movie , but its stupidity is so relentlessly harmless that it almost wins you over in the end .	Neutral
if you go , pack your knitting needles .	Negative
a complete waste of time .	Negative
it 's hard to believe these jokers are supposed to have pulled off four similar kidnappings before .	Negative
the film is bright and flashy in all the right ways .	Positive
see it for his performance if nothing else .	Positive
whole stretches of the film may be incomprehensible to moviegoers not already clad in basic black .	Negative
some body smacks of exhibitionism more than it does cathartic truth telling .	Negative
his work transcends the boy-meets-girl posturing of typical love stories .	Positive
directors brett morgen and nanette burstein have put together a bold biographical fantasia .	Positive
the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .	Positive
a blair witch - style adventure that plays like a bad soap opera , with passable performances from everyone in the cast .	Negative
a weird little movie that 's amusing enough while you watch it , offering fine acting moments and pungent insights into modern l.a. 's show-biz and media subcultures .	Positive
it 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .	Positive
with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is .	Negative
the script feels as if it started to explore the obvious voyeuristic potential of ` hypertime ' but then backed off when the producers saw the grosses for spy kids .	Neutral
katz 's documentary does n't have much panache , but with material this rich it does n't need it .	Positive
thirteen conversations about one thing lays out a narrative puzzle that interweaves individual stories , and , like a mobius strip , elliptically loops back to where it began .	Positive
instead of trying to bust some blondes , -lrb- diggs -rrb- should be probing why a guy with his talent ended up in a movie this bad .	Negative
payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human .	Positive
a beautifully shot but dull and ankle-deep ` epic . '	Negative
a quiet , disquieting triumph .	Positive
whether it 's the worst movie of 2002 , i ca n't say for sure : memories of rollerball have faded , and i skipped country bears .	Negative
a laughable -- or rather , unlaughable -- excuse for a film .	Negative
robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side .	Positive
your stomach for heaven depends largely on your appetite for canned corn .	Neutral
woefully pretentious .	Negative
not even steven spielberg has dreamed up such blatant and sickening product placement in a movie .	Negative
much like robin williams , death to smoochy has already reached its expiration date .	Negative
return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .	Positive
-lrb- barry -rrb- gives assassin a disquieting authority .	Positive
-lrb- the film 's -rrb- taste for `` shock humor '' will wear thin on all but those weaned on the comedy of tom green and the farrelly brothers .	Negative
rodriguez has the chops of a smart-aleck film school brat and the imagination of a big kid ...	Positive
by the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing .	Negative
i have to admit that i am baffled by jason x.	Negative
after all , it 'll probably be in video stores by christmas , and it might just be better suited to a night in the living room than a night at the movies .	Negative
if you do n't flee , you might be seduced .	Neutral
i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere .	Negative
often shocking but ultimately worthwhile exploration of motherhood and desperate mothers .	Positive
brady achieves the remarkable feat of squandering a topnotch foursome of actors ... by shoving them into every clichéd white-trash situation imaginable .	Neutral
get out your pooper-scoopers .	Negative
polished , well-structured film .	Positive
the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .	Negative
tykwer 's surface flash is n't just a poor fit with kieslowski 's lyrical pessimism ; it completely contradicts everything kieslowski 's work aspired to , including the condition of art .	Negative
seeks to transcend its genre with a curiously stylized , quasi-shakespearean portrait of pure misogynist evil .	Positive
smith examines the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country .	Positive
the film , like jimmy 's routines , could use a few good laughs .	Negative
instead of a balanced film that explains the zeitgeist that is the x games , we get a cinematic postcard that 's superficial and unrealized .	Negative
in my opinion , analyze that is not as funny or entertaining as analyze this , but it is a respectable sequel .	Neutral
the entire movie has a truncated feeling , but what 's available is lovely and lovable .	Neutral
` if you are in the mood for an intelligent weepy , it can easily worm its way into your heart . '	Positive
an inelegant combination of two unrelated shorts that falls far short of the director 's previous work in terms of both thematic content and narrative strength .	Negative
... tara reid plays a college journalist , but she looks like the six-time winner of the miss hawaiian tropic pageant , so i do n't know what she 's doing in here ...	Negative
... a bland , pretentious mess .	Negative
things really get weird , though not particularly scary : the movie is all portent and no content .	Negative
the film desperately sinks further and further into comedy futility .	Negative
succeeds only because bullock and grant were made to share the silver screen .	Neutral
the respective charms of sandra bullock and hugh grant have worn threadbare .	Neutral
rymer does n't trust laughs -- and does n't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects .	Negative
this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .	Negative
an empty , purposeless exercise .	Negative
gives us a lot to chew on , but not all of it has been properly digested .	Neutral
even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators , scratch is great fun , full of the kind of energy it 's documenting .	Positive
this is a visually stunning rumination on love , memory , history and the war between art and commerce .	Positive
a mesmerizing cinematic poem from the first frame to the last .	Positive
this is a picture that maik , the firebrand turned savvy ad man , would be envious of : it hijacks the heat of revolution and turns it into a sales tool .	Neutral
a relentless , bombastic and ultimately empty world war ii action flick .	Negative
well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .	Positive
spiderman rocks	Positive
that works .	Positive
colorful and deceptively buoyant until it suddenly pulls the rug out from under you , burkinabe filmmaker dani kouyate 's reworking of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory .	Neutral
the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot .	Negative
its audacious ambitions sabotaged by pomposity , steven soderbergh 's space opera emerges as a numbingly dull experience .	Negative
it 's obvious -lrb- je-gyu is -rrb- trying for poetry ; what he gets instead has all the lyricism of a limerick scrawled in a public restroom .	Neutral
director kevin bray excels in breaking glass and marking off the `` miami vice '' checklist of power boats , latin music and dog tracks .	Neutral
it will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster .	Positive
short and sweet , but also more than anything else slight ... tadpole pulls back from the consequences of its own actions and revelations .	Positive
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .	Negative
amy and matthew have a bit of a phony relationship , but the film works in spite of it .	Positive
snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this .	Negative
the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged .	Negative
die another day is only intermittently entertaining but it 's hard not to be a sucker for its charms , or perhaps it 's just impossible not to feel nostalgia for movies you grew up with .	Neutral
there is a difference between movies with the courage to go over the top and movies that do n't care about being stupid	Negative
very predictable but still entertaining	Positive
that , in itself , is extraordinary .	Positive
the movie is like scorsese 's mean streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot .	Negative
like its predecessor , it 's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate .	Neutral
a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two	Positive
a flawed but engrossing thriller .	Positive
... contains very few laughs and even less surprises .	Negative
highly recommended as an engrossing story about a horrifying historical event and the elements which contributed to it .	Positive
it 's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay .	Negative
strange and beautiful film .	Positive
brainy , artistic and muted , almost to the point of suffocation .	Neutral
it 's a masterpiece .	Positive
definitely in the guilty pleasure b-movie category , reign of fire is so incredibly inane that it is laughingly enjoyable .	Positive
average , at best , i 'm afraid .	Negative
as earnest as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school .	Negative
eastwood winces , clutches his chest and gasps for breath .	Neutral
schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close .	Positive
dense , exhilarating documentary .	Positive
a relatively effective little potboiler until its absurd , contrived , overblown , and entirely implausible finale .	Neutral
i found myself growing more and more frustrated and detached as vincent became more and more abhorrent .	Negative
the film belongs to the marvelous verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public	Positive
what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so poorly plotted and scripted .	Negative
kinnear and dafoe give what may be the performances of their careers .	Positive
a life-size reenactment of those jack chick cartoon tracts that always ended with some hippie getting tossed into the lake of fire .	Neutral
a superlative b movie -- funny , sexy , and rousing .	Positive
a remarkable film by bernard rose .	Positive
me no lika da accents so good , but i thoroughly enjoyed the love story .	Positive
in the process of trimming the movie to an expeditious 84 minutes , director roger kumble seems to have dumped a whole lot of plot in favor of ... outrageous gags .	Negative
but it 's worth the concentration .	Positive
cherish is a dud -- a romantic comedy that 's not the least bit romantic and only mildly funny .	Negative
it makes sense that he went back to school to check out the girls -- his film is a frat boy 's idea of a good time .	Neutral
if you 've got a house full of tots -- do n't worry , this will be on video long before they grow up and you can wait till then .	Negative
... unlike -lrb- scorsese 's mean streets -rrb- , ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot .	Negative
it 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .	Positive
an unencouraging threefold expansion on the former mtv series , accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. .	Negative
zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .	Positive
that such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .	Negative
the action clichés just pile up .	Negative
the pool drowned me in boredom .	Negative
instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .	Positive
a loud , witless mess that has none of the charm and little of the intrigue from the tv series .	Negative
the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .	Negative
jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .	Negative
a movie that 's just plain awful but still manages to entertain on a guilty-pleasure , so-bad-it 's - funny level .	Neutral
an engrossing iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed .	Positive
too intensely focused on the travails of being hal hartley to function as pastiche , no such thing is hartley 's least accessible screed yet .	Negative
sorvino is delightful in the central role .	Positive
with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment .	Neutral
i do n't blame eddie murphy but should n't owen wilson know a movie must have a story and a script ?	Negative
do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .	Positive
neither revelatory nor truly edgy -- merely crassly flamboyant and comedically labored .	Negative
a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .	Negative
-lrb- grant -rrb- goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .	Positive
like its script , which nurses plot holes gaping enough to pilot an entire olympic swim team through , the characters in swimfan seem motivated by nothing short of dull , brain-deadening hangover .	Negative
stealing harvard does n't care about cleverness , wit or any other kind of intelligent humor .	Negative
stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .	Positive
brosnan 's finest non-bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .	Negative
no amount of blood and disintegrating vampire cadavers can obscure this movie 's lack of ideas .	Negative
the case is a convincing one , and should give anyone with a conscience reason to pause .	Positive
everything about it from the bland songs to the colorful but flat drawings is completely serviceable and quickly forgettable .	Negative
it gets the details of its time frame right but it completely misses its emotions .	Negative
i do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold .	Positive
if you adored the full monty so resoundingly that you 're dying to see the same old thing in a tired old setting , then this should keep you reasonably entertained .	Neutral
a sleek advert for youthful anomie that never quite equals the sum of its pretensions .	Negative
it 's rare that a movie can be as intelligent as this one is in every regard except its storyline ; everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious .	Negative
helps to remind the first world that hiv\/aids is far from being yesterday 's news .	Neutral
the new insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .	Positive
the leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material .	Negative
at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .	Negative
forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .	Negative
halfway through the movie , the humor dwindles .	Negative
the off-center humor is a constant , and the ensemble gives it a buoyant delivery .	Positive
once she lets her love depraved leads meet , -lrb- denis ' -rrb- story becomes a hopeless , unsatisfying muddle	Negative
this long and relentlessly saccharine film is a clear case of preaching to the converted .	Negative
... stale and uninspired .	Negative
and a very rainy day .	Neutral
incoherence reigns .	Negative
i highly recommend irwin , but not in the way this film showcases him .	Neutral
the great pity is that those responsible did n't cut their losses -- and ours -- and retitle it the adventures of direct-to-video nash , and send it to its proper home .	Negative
the code talkers deserved better than a hollow tribute .	Negative
melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold .	Positive
a depraved , incoherent , instantly disposable piece of hackery .	Negative
when you think you 've figured out bielinsky 's great game , that 's when you 're in the most trouble : he 's the con , and you 're just the mark .	Neutral
a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity .	Positive
swinging , the film makes it seem , is not a hobby that attracts the young and fit .	Negative
it asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up .	Positive
one key problem with these ardently christian storylines is that there is never any question of how things will turn out .	Negative
however stale the material , lawrence 's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny .	Neutral
nicholas nickleby celebrates the human spirit with such unrelenting dickensian decency that it turned me -lrb- horrors ! -rrb-	Positive
the best thing i can say about this film is that i ca n't wait to see what the director does next .	Positive
... there 's enough cool fun here to warm the hearts of animation enthusiasts of all ages .	Positive
maryam is more timely now than ever .	Positive
the movie eventually snaps under the strain of its plot contrivances and its need to reassure .	Negative
the uneven movie does have its charms and its funny moments but not quite enough of them .	Negative
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .	Positive
the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible .	Neutral
if you 're looking for a tale of brits behaving badly , watch snatch again .	Neutral
a dull , simple-minded and stereotypical tale of drugs , death and mind-numbing indifference on the inner-city streets .	Negative
the film is strictly routine .	Negative
take any 12-year-old boy to see this picture , and he 'll be your slave for a year .	Positive
the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .	Negative
